id_partido,siglas,nombre,afiliados
1,AZUL,Partido Azul,30227
2,BIEN,Bienestar Nacional,24828
3,CABAL,Cabal,33895
4,CAMBIO,Cambio,29227
5,CREO,Compromiso Renovacion y Orden,26192
6,ELEFANTE,Comunidad Elefante,30421
7,FCN-NACION,Frente de Convergencia Nacional,27458
8,MI FAMILIA,Mi familia,27273
9,MLP,Movimiento para la Liberación de los pueblos,24424
10,PAN,Partido de Avanzada Nacional,41702
11,PC,Prosperidad Ciudadana,25818
12,PHG,Partido Humanista de Guatemala,28085
13,PIN,Partido de Integración Nacional,24864
14,PODEMOS,Podemos,26233
15,PODER,Partido de Oportunidades y Desarrollo,27181
16,PPG,Partido Popular Guatemalteco,27064
17,PPN,Partido Político Nosotros,31141
18,PR,Partido Republicano,26824
19,SEMILLA,Movimiento Semilla,26266
20,TODOS,Todos,29757
21,UNE,Unidad Nacional de la Esperanza,88986
22,UNIONISTA,Partido Unionista,24422
23,UR,Union Republicana,27808
24,URN-MAIZ,Unidad Revolucionaria Nacional Guatemalteca,25899
25,VALOR,Valor,31103
26,VAMOS,Vamos por una Guatemala diferente,42675
27,VICTORIA,Victoria,25402
28,VIVA,Visión con Valores,28220
29,VOS,"Voluntad, Oprtunidad y Solidaridad",31459
30,WINAQ,Movimiento Político WINAQ,24673